date,runtime,timestamp,engagement_score,inattention_duration,no_face_duration
2024-10-27,3.59s,2024-10-27 10:16:54,99,0:00:00,0:00:03
2024-10-27,6.64s,2024-10-27 10:16:57,98,0:00:00,0:00:06
2024-10-27,9.70s,2024-10-27 10:17:00,97,0:00:00,0:00:09
2024-10-27,12.76s,2024-10-27 10:17:03,96,0:00:00,0:00:12
2024-10-27,15.79s,2024-10-27 10:17:06,95,0:00:00,0:00:15
2024-10-27,18.84s,2024-10-27 10:17:09,94,0:00:00,0:00:18
2024-10-27,21.88s,2024-10-27 10:17:12,93,0:00:00,0:00:21
